Nome;Cognome;Email;Tel;
Mario;Rossi;m.rossi@beije.it;3478298923
Carlo;Rossi;c.rossi@beije.it;3478298923
Franco1;Bianchi1;null;null
Franco2;Bianchi2;null;null
Franco1;Bianchi1;null;null
Franco2;Bianchi2;null;null
davide;persico;davide@live.it;3801498989
antani;a;aa;333
pippo;pippi;p.p;321
a;a;a;a
davide;persico;davide@beije.it;333
marco;colombo;marco.c;333
marco;antani;aa;aa
davide;persico;a;a
antani;abudoio;a.a@live.it;3478923782
aaa;aaa;aaa;aaa
ciao;salve;a.s;324333
marcolino;persichino;bb;bb
fff;ccc;ccc;ccc
ciao;salve;c.salve;333
davide;antani;321;via
davide;antani;321;via
